Aaien	Aaide	Geaaid
Contacteren	Contacteerde	Gecontacteerd
Contamineren	Contamineerde	Gecontamineerd
Contesteren	Contesteerde	Gecontesteerd
Contingenteren	Contingenteerde	Gecontingenteerd
Continueren	Continueerde	Gecontinueerd
Contraheren	Contraheerde	Gecontraheerd
Contrariëren	Contrarieerde	Gecontrarieerd
Contrasigneren	Contrasigneerde	Gecontrasigneerd
Contribueren	Contribueerde	Gecontribueerd
Conveniëren	Convenieerde	Geconvenieerd
Converseren	Converseerde	Geconverseerd
Coproduceren	Coproduceerde	Gecoproduceerd
Copuleren	Copuleerde	Gecopuleerd
Correctionaliseren	Correctionaliseerde	Gecorrectionaliseerd
Correleren	Correleerde	Gecorreleerd
Corresponderen	Correspondeerde	Gecorrespondeerd
Corrumperen	Corrumpeerde	Gecorrumpeerd
Corveeën	Corveede	Gecorveed
Counselen	Counselde	Gecounseld
Counteren	Counterde	Gecounterd
Countrydansen	Countrydanste	Gecountrydanst
Coupen	Coupte	Gecoupt
Coveren	Coverde	Gecoverd
Coïncideren	Coïncideerde	Gecoïncideerd
Coïteren	Coïteerde	Gecoïteerd
Coöpereren	Coöpereerde	Gecoöpereerd
Coöpteren	Coöpteerde	Gecoöpteerd
Coördineren	Coördineerde	Gecoördineerd
Crashen	Crashte	Gecrasht
Crawlen	Crawlde	Gecrawld
Creosoteren	Creosoteerde	Gecreosoteerd
Cricketen	Crickette	Gecricket
Criminaliseren	Criminaliseerde	Gecriminaliseerd
Croonen	Croonde	Gecroond
Crossen	Croste	Gecrost
Crowdsurfen	Crowdsurfte	Gecrowdsurft
Culmineren	Culmineerde	Geculmineerd
Culpabiliseren	Culpabiliseerde	Geculpabiliseerd
Cultiveren	Cultiveerde	Gecultiveerd
Cumuleren	Cumuleerde	Gecumuleerd
Curetteren	Curetteerde	Gecuretteerd
Cursiveren	Cursiveerde	Gecursiveerd
Cyclecrossen	Cyclecroste	Gecyclecrost
Cyclocrossen	Cyclocroste	Gecyclocrost
Cyclostyleren	Cyclostyleerde	Gecyclostyleerd
Dabben	Dabde	Gedabd
Dactyloscoperen	Dactyloscopeerde	Gedactyloscopeerd
Dagdieven	Dagdiefde	Gedagdiefd
Dagdromen	Dagdroomde	Gedagdroomd
Dagvaarden	Dagvaardde	Gedagvaard
Dalven	Dalfde	Gedalfd
Damasceren	Damasceerde	Gedamasceerd
Dammen	Damde	Gedamd
Dampen	Dampte	Gedampt
Dansen	Danste	Gedanst
Darren	Darde	Gedard
Darten	Dartte	Gedart
Daten	Datete	Gedatet
Dauwen	Dauwde	Gedauwd
Davvenen	Davvende	Gedavvend
Dazen	Daasde	Gedaasd
De-escaleren	De-escaleerde	Gede-escaleerd
Deactualiseren	Deactualiseerde	Gedeactualiseerd
Dealen	Dealde	Gedeald
Deballoteren	Deballoteerde	Gedeballoteerd
Debarkeren	Debarkeerde	Gedebarkeerd
Debatteren	Debatteerde	Gedebatteerd
Deblokkeren	Deblokkeerde	Gedeblokkeerd
Debrailleren	Debrailleerde	Gedebrailleerd
Debrayeren	Debrayeerde	Gedebrayeerd
Debriefen	Debriefte	Gedebrieft
Debuggen	Debugde	Gedebugd
Debuteren	Debuteerde	Gedebuteerd
Decentraliseren	Decentraliseerde	Gedecentraliseerd
Dechargeren	Dechargeerde	Gedechargeerd
Decideren	Decideerde	Gedecideerd
Decimeren	Decimeerde	Gedecimeerd
Declameren	Declameerde	Gedeclameerd
Declasseren	Declasseerde	Gedeclasseerd
Decoderen	Decodeerde	Gedecodeerd
Decomprimeren	Decomprimeerde	Gedecomprimeerd
Deconfessionaliseren	Deconfessionaliseerde	Gedeconfessionaliseerd
Deconstrueren	Deconstrueerde	Gedeconstrueerd
Decouperen	Decoupeerde	Gedecoupeerd
Decreteren	Decreteerde	Gedecreteerd
Deeplinken	Deeplinkte	Gedeeplinkt
Defibrilleren	Defibrilleerde	Gedefibrilleerd
Defileren	Defileerde	Gedefileerd
Deflecteren	Deflecteerde	Gedeflecteerd
Defloreren	Defloreerde	Gedefloreerd
Deformeren	Deformeerde	Gedeformeerd
Defragmenteren	Defragmenteerde	Gedefragmenteerd
Deglaceren	Deglaceerde	Gedeglaceerd
Degusteren	Degusteerde	Gedegusteerd
Dehydreren	Dehydreerde	Gedehydreerd
Deinen	Deinde	Gedeind
Deinzen	Deinsde	Gedeinsd
Dejeuneren	Dejeuneerde	Gedejeuneerd
Dekoloniseren	Dekoloniseerde	Gedekoloniseerd
Deleten	Deletete	Gedeletet
Delibereren	Delibereerde	Gedelibereerd
Demagnetiseren	Demagnetiseerde	Gedemagnetiseerd
Demarqueren	Demarqueerde	Gedemarqueerd
Demarreren	Demarreerde	Gedemarreerd
Demaskeren	Demaskeerde	Gedemaskeerd
Dementeren	Dementeerde	Gedementeerd
Demilitariseren	Demilitariseerde	Gedemilitariseerd
Demineraliseren	Demineraliseerde	Gedemineraliseerd
Demobiliseren	Demobiliseerde	Gedemobiliseerd
Democratiseren	Democratiseerde	Gedemocratiseerd
Demoniseren	Demoniseerde	Gedemoniseerd
Demonstreren	Demonstreerde	Gedemonstreerd
Demotiveren	Demotiveerde	Gedemotiveerd
Demystificeren	Demystificeerde	Gedemystificeerd
Denationaliseren	Denationaliseerde	Gedenationaliseerd
Denaturaliseren	Denaturaliseerde	Gedenaturaliseerd
Denatureren	Denatureerde	Gedenatureerd
Denderen	Denderde	Gedenderd
Denigreren	Denigreerde	Gedenigreerd
Denivelleren	Denivelleerde	Gedenivelleerd
Denken	Dacht	Gedacht
Denomineren	Denomineerde	Gedenomineerd
Denonceren	Denonceerde	Gedenonceerd
Denunciëren	Denuncieerde	Gedenuncieerd
Deodoriseren	Deodoriseerde	Gedeodoriseerd
Depanneren	Depanneerde	Gedepanneerd
Depenaliseren	Depenaliseerde	Gedepenaliseerd
Depersonaliseren	Depersonaliseerde	Gedepersonaliseerd
Depolariseren	Depolariseerde	Gedepolariseerd
Depolitiseren	Depolitiseerde	Gedepolitiseerd
Deporteren	Deporteerde	Gedeporteerd
Depouilleren	Depouilleerde	Gedepouilleerd
Depreciëren	Deprecieerde	Gedeprecieerd
Deprivatiseren	Deprivatiseerde	Gedeprivatiseerd
Depriveren	Depriveerde	Gedepriveerd
Deprogrammeren	Deprogrammeerde	Gedeprogrammeerd
Derailleren	Derailleerde	Gederailleerd
Derangeren	Derangeerde	Gederangeerd
Dereguleren	Dereguleerde	Gedereguleerd
Derogeren	Derogeerde	Gederogeerd
Derven	Derfde	Gederfd
Desacraliseren	Desacraliseerde	Gedesacraliseerd
Desambigueren	Desambigueerde	Gedesambigueerd
Desavoueren	Desavoueerde	Gedesavoueerd
Desemen	Desemde	Gedesemd
Desensibiliseren	Desensibiliseerde	Gedesensibiliseerd
Deserteren	Deserteerde	Gedeserteerd
Desinvesteren	Desinvesteerde	Gedesinvesteerd
Desorganiseren	Desorganiseerde	Gedesorganiseerd
Desoriënteren	Desoriënteerde	Gedesoriënteerd
Dessineren	Dessineerde	Gedessineerd
Destabiliseren	Destabiliseerde	Gedestabiliseerd
Destaliniseren	Destaliniseerde	Gedestaliniseerd
Detacheren	Detacheerde	Gedetacheerd
Detailleren	Detailleerde	Gedetailleerd
Detecteren	Detecteerde	Gedetecteerd
Detoneren	Detoneerde	Gedetoneerd
Deuken	Deukte	Gedeukt
Deunen	Deunde	Gedeund
Deuviken	Deuvikte	Gedeuvikt
Devalueren	Devalueerde	Gedevalueerd
Deviëren	Devieerde	Gedevieerd
Diaboliseren	Diaboliseerde	Gediaboliseerd
Diagnosticeren	Diagnosticeerde	Gediagnosticeerd
Dialogiseren	Dialogiseerde	Gedialogiseerd
Dicteren	Dicteerde	Gedicteerd
Dieken	Diekte	Gediekt
Diepen	Diepte	Gediept
Dieplinken	Dieplinkte	Gedieplinkt
Diepvriezen		Diepgevroren
Dieselen	Dieselde	Gedieseld
Dieven	Diefde	Gediefd
Diffameren	Diffameerde	Gediffameerd
Diftongeren	Diftongeerde	Gediftongeerd
Digitaliseren	Digitaliseerde	Gedigitaliseerd
Dijen	Dijde	Gedijd
Dijken	Dijkte	Gedijkt
Dikken	Dikte	Gedikt
Dilateren	Dilateerde	Gedilateerd
Dimensioneren	Dimensioneerde	Gedimensioneerd
Dimmen	Dimde	Gedimd
Dineren	Dineerde	Gedineerd
Dingen	Dong	Gedongen
Diplomeren	Diplomeerde	Gediplomeerd
Dippen	Dipte	Gedipt
Disambigueren	Disambigueerde	Gedisambigueerd
Disciplineren	Disciplineerde	Gedisciplineerd
Disconteren	Disconteerde	Gedisconteerd
Discrediteren	Discrediteerde	Gediscrediteerd
Discrimineren	Discrimineerde	Gediscrimineerd
Disculperen	Disculpeerde	Gedisculpeerd
Discussiëren	Discussieerde	Gediscussieerd
Disfunctioneren	Disfunctioneerde	Gedisfunctioneerd
Disharmoniëren	Disharmonieerde	Gedisharmonieerd
Diskwalificeren	Diskwalificeerde	Gediskwalificeerd
Dispenseren	Dispenseerde	Gedispenseerd
Distantiëren	Distantieerde	Gedistantieerd
Distingeren	Distingeerde	Gedistingeerd
Diversifiëren	Diversifieerde	Gediversifieerd
Diverteren	Diverteerde	Gediverteerd
Djakken	Djakte	Gedjakt
Djorken	Djorkte	Gedjorkt
Dobbelen	Dobbelde	Gedobbeld
Doceren	Doceerde	Gedoceerd
Doctoreren	Doctoreerde	Gedoctoreerd
Documenteren	Documenteerde	Gedocumenteerd
Dodijnen	Dodijnde	Gedodijnd
Doedelen	Doedelde	Gedoedeld
Doelen	Doelde	Gedoeld
Doelpunten	Doelpuntte	Gedoelpunt
Doemen	Doemde	Gedoemd
Doffen	Dofte	Gedoft
Dogmatiseren	Dogmatiseerde	Gedogmatiseerd
Dokkeren	Dokkerde	Gedokkerd
Dokteren	Dokterde	Gedokterd
Doleren	Doleerde	Gedoleerd
Dollariseren	Dollariseerde	Gedollariseerd
Dollen	Dolde	Gedold
Domen	Doomde	Gedoomd
Domesticeren	Domesticeerde	Gedomesticeerd
Domiciliëren	Domicilieerde	Gedomicilieerd
Dominoën	Dominode	Gedominood
Dommelen	Dommelde	Gedommeld
Dompen	Dompte	Gedompt
Donderjagen	Donderjaagde	Gedonderjaagd
Donderstralen	Donderstraalde	Gedonderstraald
Doneren	Doneerde	Gedoneerd
Donkeren	Donkerde	Gedonkerd
Doodverven	Doodverfde	Gedoodverfd
Dooraderen	Dooraderde	Dooraderd
Doorbehandelen	Doorbehandelde	Doorbehandeld
Door	Doorbloedde	Doorbloed
Doordesemen	Doordesemde	Doordesemd
Doorkruiden	Doorkruidde	Doorkruid
Doorschouwen	Doorschouwde	Doorschouwd
Doorspekken	Doorspekte	Doorspekt
Doorstralen	Doorstraalde	Doorstraald
Doortintelen	Doortintelde	Doortinteld
Doorvertellen	Doorvertelde	Doorverteld
Doorvlijmen	Doorvlijmde	Doorvlijmd
Doorvoelen	Doorvoelde	Doorvoeld
Doorvorsen	Doorvorste	Doorvorst
Doorwaken	Doorwaakte	Doorwaakt
Doorwarmen	Doorwarmde	Doorwarmd
Doorwoelen	Doorwoelde	Doorwoeld
Doorwonden	Doorwondde	Doorwond
Doorzwikken	Doorzwikte	Doorzwikt
Dopen	Doopte	Gedoopt
Dorren	Dorde	Gedord
Dorsten	Dorstte	Gedorst
Doseren	Doseerde	Gedoseerd
Dossen	Doste	Gedost
Doteren	Doteerde	Gedoteerd
Dotteren	Dotterde	Gedotterd
Doubleren	Doubleerde	Gedoubleerd
Douchen	Douchte	Gedoucht
Dralen	Draalde	Gedraald
Dramatiseren	Dramatiseerde	Gedramatiseerd
Drammen	Dramde	Gedramd
Draperen	Drapeerde	Gedrapeerd
Dreggen	Dregde	Gedregd
Dreinen	Dreinde	Gedreind
Drenken	Drenkte	Gedrenkt
Drenzen	Drensde	Gedrensd
Dretsen	Dretste	Gedretst
Dreutelen	Dreutelde	Gedreuteld
Drevelen	Drevelde	Gedreveld
Driegen	Driegde	Gedriegd
Droedelen	Droedelde	Gedroedeld
Drogeren	Drogeerde	Gedrogeerd
Dromen	Droomde	Gedroomd
Drommen	Dromde	Gedromd
Droppelen	Droppelde	Gedroppeld
Droppen	Dropte	Gedropt
Drossen	Droste	Gedrost
Drozen	Droosde	Gedroosd
Druiloren	Druiloorde	Gedruiloord
Druipstaarten	Druipstaartte	Gedruipstaart
Druisen	Druiste	Gedruist
Drummen	Drumde	Gedrumd
Druppelen	Druppelde	Gedruppeld
Druppen	Drupte	Gedrupt
Dubbelen	Dubbelde	Gedubbeld
Duelleren	Duelleerde	Geduelleerd
Duimen	Duimde	Geduimd
Duisteren	Duisterde	Geduisterd
Duivelen	Duivelde	Geduiveld
Duizelen	Duizelde	Geduizeld
Dumpen	Dumpte	Gedumpt
Dunken	Docht	Gedocht
Dunnen	Dunde	Gedund
Duperen	Dupeerde	Gedupeerd
Duvelen	Duvelde	Geduveld
Dwarrelen	Dwarrelde	Gedwarreld
Dwarsen	Dwarste	Dwarst
Dweilen	Dweilde	Gedweild
Dwepen	Dweepte	Gedweept
E-mailen	E-mailde	Ge-e-maild
Ebaucheren	Ebaucheerde	Geëbaucheerd
Ebben	Ebde	Geëbd
Ecarteren	Ecarteerde	Geëcarteerd
Echelonneren	Echelonneerde	Geëchelonneerd
Echoën	Echode	Geëchood
Eclipseren	Eclipseerde	Geëclipseerd
Economiseren	Economiseerde	Geëconomiseerd
Eenendertigen	Eenendertigde	Geëenendertigd
Eenentwintigen	Eenentwintigde	Geëenentwintigd
Eesten	Eestte	Geëest
Effectueren	Effectueerde	Geëffectueerd
Egaliseren	Egaliseerde	Geëgaliseerd
Eggen	Egde	Geëgd
Eigenen	Eigende	Geëigend
Einden	Eindde	Geëind
Ejaculeren	Ejaculeerde	Geëjaculeerd
Elektrificeren	Elektrificeerde	Geëlektrificeerd
Elektriseren	Elektriseerde	Geëlektriseerd
Elektrocuteren	Elektrocuteerde	Geëlektrocuteerd
Elideren	Elideerde	Geëlideerd
Emailleren	Emailleerde	Geëmailleerd
Embarkeren	Embarkeerde	Geëmbarkeerd
Emenderen	Emendeerde	Geëmendeerd
Emmeren	Emmerde	Geëmmerd
Emotioneren	Emotioneerde	Geëmotioneerd
Emulgeren	Emulgeerde	Geëmulgeerd
Encadreren	Encadreerde	Geëncadreerd
Encanailleren	Encanailleerde	Geëncanailleerd
Enerveren	Enerveerde	Geënerveerd
Enquêteren	Enquêteerde	Geënquêteerd
Ensceneren	Ensceneerde	Geënsceneerd
Entameren	Entameerde	Geëntameerd
Enteren	Enterde	Geënterd
Entertainen	Entertainde	Geëntertaind
Entraineren	Entraineerde	Geëntraineerd
Epateren	Epateerde	Geëpateerd
Epibreren	Epibreerde	Geëpibreerd
Epileren	Epileerde	Geëpileerd
Equiperen	Equipeerde	Geëquipeerd
Erbarmen	Erbarmde	Erbarmd
Erlangen	Erlangde	Erlangd
Erotiseren	Erotiseerde	Geërotiseerd
Escamoteren	Escamoteerde	Geëscamoteerd
Eskimoteren	Eskimoteerde	Geëskimoteerd
Essayeren	Essayeerde	Geëssayeerd
Esthetiseren	Esthetiseerde	Geësthetiseerd
Etiketteren	Etiketteerde	Geëtiketteerd
Etsen	Etste	Geëtst
Etymologiseren	Etymologiseerde	Geëtymologiseerd
Europeaniseren	Europeaniseerde	Geëuropeaniseerd
Euthanaseren	Euthanaseerde	Geëuthanaseerd
Evalueren	Evalueerde	Geëvalueerd
Evangeliseren	Evangeliseerde	Geëvangeliseerd
Evaporeren	Evaporeerde	Geëvaporeerd
Evenaren	Evenaarde	Geëvenaard
Evoceren	Evoceerde	Geëvoceerd
Evoqueren	Evoqueerde	Geëvoqueerd
Exalteren	Exalteerde	Geëxalteerd
Excelleren	Excelleerde	Geëxcelleerd
Exciteren	Exciteerde	Geëxciteerd
Excommuniceren	Excommuniceerde	Geëxcommuniceerd
Exerceren	Exerceerde	Geëxerceerd
Exhiberen	Exhibeerde	Geëxhibeerd
Existeren	Existeerde	Geëxisteerd
Expatriëren	Expatrieerde	Geëxpatrieerd
Expediëren	Expedieerde	Geëxpedieerd
Experimenteren	Experimenteerde	Geëxperimenteerd
Expireren	Expireerde	Geëxpireerd
Expliceren	Expliceerde	Geëxpliceerd
Expliciteren	Expliciteerde	Geëxpliciteerd
Expliqueren	Expliqueerde	Geëxpliqueerd
Exploderen	Explodeerde	Geëxplodeerd
Exponeren	Exponeerde	Geëxponeerd
Extensiveren	Extensiveerde	Geëxtensiveerd
Extraheren	Extraheerde	Geëxtraheerd
Extrapoleren	Extrapoleerde	Geëxtrapoleerd
Extruderen	Extrudeerde	Geëxtrudeerd
Ezelen	Ezelde	Geëzeld
Fabelen	Fabelde	Gefabeld
Fabrieken	Fabriekte	Gefabriekt
Fabrikeren	Fabrikeerde	Gefabrikeerd
Fabuleren	Fabuleerde	Gefabuleerd
Faceliften	Faceliftte	Gefacelift
Factureren	Factureerde	Gefactureerd
Failleren	Failleerde	Gefailleerd
Faken	Fakete	Gefaket
Falen	Faalde	Gefaald
Falsificeren	Falsificeerde	Gefalsificeerd
Falsifiëren	Falsifieerde	Gefalsifieerd
Fantaseren	Fantaseerde	Gefantaseerd
Farceren	Farceerde	Gefarceerd
Faseren	Faseerde	Gefaseerd
Fatsoeneren	Fatsoeneerde	Gefatsoeneerd
Favoriseren	Favoriseerde	Gefavoriseerd
Faxen	Faxte	Gefaxt
Federaliseren	Federaliseerde	Gefederaliseerd
Federeren	Federeerde	Gefedereerd
Feesten	Feestte	Gefeest
Feilen	Feilde	Gefeild
Felsen	Felste	Gefelst
Femelen	Femelde	Gefemeld
Festonneren	Festonneerde	Gefestonneerd
Fezelen	Fezelde	Gefezeld
Fiatteren	Fiatteerde	Gefiatteerd
Fibrilleren	Fibrilleerde	Gefibrilleerd
Ficheren	Ficheerde	Geficheerd
Fictionaliseren	Fictionaliseerde	Gefictionaliseerd
Fiedelen	Fiedelde	Gefiedeld
Fielden	Fieldde	Gefield
Fierljeppen	Fierljepte	Gefierljept
Fietscrossen	Fietscroste	Gefietscrost
Fietsen	Fietste	Gefietst
Figgelen	Figgelde	Gefiggeld
Figuurzagen	Figuurzaagde	Gefiguurzaagd
Fijfelen	Fijfelde	Gefijfeld
Fikfakken	Fikfakte	Gefikfakt
Fikken	Fikte	Gefikt
Fiksen	Fikste	Gefikst
Fileren	Fileerde	Gefileerd
Filibusteren	Filibusterde	Gefilibusterd
Filosoferen	Filosofeerde	Gefilosofeerd
Finaliseren	Finaliseerde	Gefinaliseerd
Financieren	Financierde	Gefinancierd
Finetunen	Finetunede	Gefinetuned
Finishen	Finishte	Gefinisht
Fiscaliseren	Fiscaliseerde	Gefiscaliseerd
Fistfucken	Fistfuckte	Gefistfuckt
Fitnessen	Fitneste	Gefitnest
Flabberen	Flabberde	Geflabberd
Flamberen	Flambeerde	Geflambeerd
Flankeren	Flankeerde	Geflankeerd
Flansen	Flanste	Geflanst
Flappen	Flapte	Geflapt
Flapperen	Flapperde	Geflapperd
Flatteren	Flatteerde	Geflatteerd
Flecteren	Flecteerde	Geflecteerd
Fleetracen	Fleetracete	Gefleetracet
Flensen	Flenste	Geflenst
Flenzen	Flensde	Geflensd
Fleren	Fleerde	Gefleerd
Flessen	Fleste	Geflest
Fleuren	Fleurde	Gefleurd
Flexibiliseren	Flexibiliseerde	Geflexibiliseerd
Flippen	Flipte	Geflipt
Flipperen	Flipperde	Geflipperd
Flitten	Flitte	Geflit
Flodderen	Flodderde	Geflodderd
Floepen	Floepte	Gefloept
Floppen	Flopte	Geflopt
Flossen	Floste	Geflost
Fluimen	Fluimde	Gefluimd
Fluoresceren	Fluoresceerde	Gefluoresceerd
Fluorideren	Fluorideerde	Gefluorideerd
Fnuiken	Fnuikte	Gefnuikt
Focussen	Focuste	Gefocust
Focusseren	Focusseerde	Gefocusseerd
Foefelen	Foefelde	Gefoefeld
Foelien	Foeliede	Gefoelied
Foerageren	Foerageerde	Gefoerageerd
Foeteren	Foeterde	Gefoeterd
Foezelen	Foezelde	Gefoezeld
Foliëren	Folieerde	Gefolieerd
Fomenteren	Fomenteerde	Gefomenteerd
Fonduen	Fonduede	Gefonduud
Forenzen	Forensde	Geforensd
Formaliseren	Formaliseerde	Geformaliseerd
Formatteren	Formatteerde	Geformatteerd
Formuleren	Formuleerde	Geformuleerd
Fosforesceren	Fosforesceerde	Gefosforesceerd
Fotokopiëren	Fotokopieerde	Gefotokopieerd
Fouilleren	Fouilleerde	Gefouilleerd
Foxtrotten	Foxtrotte	Gefoxtrot
Fractioneren	Fractioneerde	Gefractioneerd
Fragmenteren	Fragmenteerde	Gefragmenteerd
Frankeren	Frankeerde	Gefrankeerd
Frapperen	Frappeerde	Gefrappeerd
Fraseren	Fraseerde	Gefraseerd
Frazelen	Frazelde	Gefrazeld
Freewheelen	Freewheelde	Gefreewheeld
Frequenteren	Frequenteerde	Gefrequenteerd
Fretten	Frette	Gefret
Frezen	Freesde	Gefreesd
Frictioneren	Frictioneerde	Gefrictioneerd
Friemelen	Friemelde	Gefriemeld
Frijnen	Frijnde	Gefrijnd
Frituren	Frituurde	Gefrituurd
Fronselen	Fronselde	Gefronseld
Frotteren	Frotteerde	Gefrotteerd
Fruiten	Fruitte	Gefruit
Frunniken	Frunnikte	Gefrunnikt
Frustreren	Frustreerde	Gefrustreerd
Frutselen	Frutselde	Gefrutseld
Fungeren	Fungeerde	Gefungeerd
Fuseren	Fuseerde	Gefuseerd
Fusilleren	Fusilleerde	Gefusilleerd
Fusioneren	Fusioneerde	Gefusioneerd
Futselen	Futselde	Gefutseld
Fêteren	Fêteerde	Gefêteerd
Gaffelen	Gaffelde	Gegaffeld
Gaggelen	Gaggelde	Gegaggeld
Gakken	Gakte	Gegakt
Gallen	Galde	Gegald
Galonneren	Galonneerde	Gegalonneerd
Galopperen	Galoppeerde	Gegaloppeerd
Galvaniseren	Galvaniseerde	Gegalvaniseerd
Gamen	Gamede	Gegamed
Gangbangen	Gangbangde	Gegangbangd
Ganneven	Gannefde	Gegannefd
Ganzenborden	Ganzenbordde	Geganzenbord
Garen	Gaarde	Gegaard
Gareren	Gareerde	Gegareerd
Garven	Garfde	Gegarfd
Gassen	Gaste	Gegast
Gasteren	Gasteerde	Gegasteerd
Gaufreren	Gaufreerde	Gegaufreerd
Gebaren	Gebaarde	Gebaard
Gebieden	Gebood	Geboden
Gedenken		
Gedragen	Gedroeg	Gedragen
Gehengen	Gehengde	Gehengd
Gehoorzamen	Gehoorzaamde	Gehoorzaamd
Geilbekken	Geilbekte	Gegeilbekt
Geilen	Geilde	Gegeild
Geiten	Geitte	Gegeit
Gekken	Gekte	Gegekt
Gelen	Geelde	Gegeeld
Gelukken	Gelukte	Gelukt
Genaken	Genaakte	Genaakt
Generen	Geneerde	Gegeneerd
Genereren	Genereerde	Gegenereerd
Genezen	Genas	Genezen
Genoegen	Genoegde	Genoegd
Geren	Geerde	Gegeerd
Gerieven	Geriefde	Geriefd
Germaniseren	Germaniseerde	Gegermaniseerd
Gespen	Gespte	Gegespt
Getroosten	Getroostte	Getroost
Gevallen	Geviel	Gevallen
Gewagen	Gewaagde	Gewaagd
Gewinnen	Gewon	Gewonnen
Geworden	Gewerd	Geworden
Gidsen	Gidste	Gegidst
Giebelen	Giebelde	Gegiebeld
Giechelen	Giechelde	Gegiecheld
Giegagen	Giegaagde	Gegiegaagd
Gijlen	Gijlde	Gegijld
Gijpen	Gijpte	Gegijpt
Ginnegappen	Ginnegapte	Geginnegapt
Gipsen	Gipste	Gegipst
Gladden	Gladde	Geglad
Glarieogen	Glarieoogde	Geglarieoogd
Glariën	Glariede	Geglaried
Glasstralen	Glasstraalde	Geglasstraald
Glazuren	Glazuurde	Geglazuurd
Glimlachen	Glimlachte	Geglimlacht
Glissen	Gliste	Geglist
Glooien	Glooide	Geglooid
Gloren	Gloorde	Gegloord
Gloriëren	Glorieerde	Geglorieerd
Glosseren	Glosseerde	Geglosseerd
Glunderen	Glunderde	Geglunderd
Gluren	Gluurde	Gegluurd
Gluurogen	Gluuroogde	Gegluuroogd
Gniffelen	Gniffelde	Gegniffeld
Gnuiven	Gnuifde	Gegnuifd
Gokken	Gokte	Gegokt
Golfen	Golfte	Gegolft
Golven	Golfde	Gegolfd
Gommen	Gomde	Gegomd
Goochelen	Goochelde	Gegoocheld
Googelen	Googelde	Gegoogeld
Gordelen	Gordelde	Gegordeld
Gorden	Gordde	Gegord
Gourmetten	Gourmette	Gegourmet
Graaien	Graaide	Gegraaid
Grabbelen	Grabbelde	Gegrabbeld
Gradueren	Gradueerde	Gegradueerd
Granen	Graande	Gegraand
Granuleren	Granuleerde	Gegranuleerd
Grapjassen	Grapjaste	Gegrapjast
Grasduinen	Grasduinde	Gegrasduind
Gratificeren	Gratificeerde	Gegratificeerd
Gratiëren	Gratieerde	Gegratieerd
Grauwen	Grauwde	Gegrauwd
Graviteren	Graviteerde	Gegraviteerd
Greinen	Greinde	Gegreind
Greineren	Greineerde	Gegreineerd
Grenzen	Grensde	Gegrensd
Grienen	Griende	Gegriend
Griezelen	Griezelde	Gegriezeld
Griffelen	Griffelde	Gegriffeld
Grijnen	Grijnde	Gegrijnd
Grijnslachen	Grijnslachte	Gegrijnslacht
Grijnzen	Grijnsde	Gegrijnsd
Grijzen	Grijsde	Gegrijsd
Grimassen	Grimaste	Gegrimast
Grimlachen	Grimlachte	Gegrimlacht
Grimmen	Grimde	Gegrimd
Grinden	Grindde	Gegrind
Grinniken	Grinnikte	Gegrinnikt
Grinten	Grintte	Gegrint
Grissen	Griste	Gegrist
Groenen	Groende	Gegroend
Groepen	Groepte	Gegroept
Groeperen	Groepeerde	Gegroepeerd
Groeven	Groefde	Gegroefd
Grollen	Grolde	Gegrold
Grommelen	Grommelde	Gegrommeld
Grondverven	Grondverfde	Gegrondverfd
Grootspreken		
Grosseren	Grosseerde	Gegrosseerd
Grossieren	Grossierde	Gegrossierd
Gruizen	Gruisde	Gegruisd
Grutten	Grutte	Gegrut
Gruwelen	Gruwelde	Gegruweld
Guillocheren	Guillocheerde	Geguillocheerd
Guillotineren	Guillotineerde	Geguillotineerd
Gullen	Gulde	Geguld
Gulpen	Gulpte	Gegulpt
Gummen	Gumde	Gegumd
Gunnen	Gunde	Gegund
Gutsen	Gutste	Gegutst
Gymmen	Gymde	Gegymd
Haaien	Haaide	Gehaaid
Haarknippen		
Hacken	Hackte	Gehackt
Hagelen	Hagelde	Gehageld
Hagen	Haagde	Gehaagd
Haken	Haakte	Gehaakt
Hakketakken	Hakketakte	Gehakketakt
Hakketeren	Hakketeerde	Gehakketeerd
Hallucineren	Hallucineerde	Gehallucineerd
Halsteren	Halsterde	Gehalsterd
Halveren	Halveerde	Gehalveerd
Halvezolen	Halvezoolde	Gehalvezoold
Halzen	Halsde	Gehalsd
Hameren	Hamerde	Gehamerd
Hamsteren	Hamsterde	Gehamsterd
Handballen	Handbalde	Gehandbald
Handen	Handde	Gehand
Handgiften	Handgiftte	Gehandgift
Handhaven	Handhaafde	Gehandhaafd
Handicappen	Handicapte	Gehandicapt
Handwerken	Handwerkte	Gehandwerkt
Hangen	Hing	Gehangen
Hanggliden	Hangglidede	Gehangglided
Hannesen	Hanneste	Gehannest
Haperen	Haperde	Gehaperd
Harddraven	Harddraafde	Geharddraafd
Hardebollen	Hardebolde	Gehardebold
Hardrijden		
Haren	Haarde	Gehaard
Harmoniseren	Harmoniseerde	Geharmoniseerd
Harmoniëren	Harmonieerde	Geharmonieerd
Harnassen	Harnaste	Geharnast
Harpen	Harpte	Geharpt
Harpoeneren	Harpoeneerde	Geharpoeneerd
Harpuizen	Harpuisde	Geharpuisd
Harrewarren	Harrewarde	Geharreward
Haspelen	Haspelde	Gehaspeld
Hassebassen	Hassebaste	Gehassebast
Haten	Haatte	Gehaat
Headbangen	Headbangde	Geheadbangd
